,longitude,latitude,propertyTaxRate,price,numPriceChanges,saleMonth,saleYear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,medianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,age,zipcode_median,clusters,cluster
4657,-97.88201904,30.23879433,1.98,424900,2,11,2019,34,0,4,1,2,1,0,1,0,1698,1,0,1,1,2.766666667,6.666666667,1698,17,2.0,3,1,51,380000.0,0,pink
4658,-97.90853882,30.18351555,1.98,650000,2,6,2019,38,0,4,1,0,1,0,1,0,2844,1,0,1,1,2.333333333,9.0,1755,18,4.0,4,2,7,523915.0,0,pink
4659,-97.88912201,30.24367714,1.98,319000,2,12,2018,36,0,3,1,0,0,0,0,0,1257,1,0,1,1,3.266666667,6.666666667,1698,17,2.0,3,1,36,380000.0,0,pink
4660,-97.92062378,30.18448639,1.98,575000,2,7,2019,39,0,3,1,0,0,0,1,0,3323,1,0,1,1,2.233333333,8.0,1655,18,4.0,4,2,13,523915.0,0,pink
4661,-97.91034698,30.19381142,1.98,529900,1,12,2019,29,0,3,1,2,4,0,1,0,2985,1,0,1,1,1.733333333,8.666666667,1664,18,3.0,3,1,11,523915.0,0,pink
4662,-97.91900635,30.18294716,1.98,495000,1,9,2019,1,0,4,1,1,3,0,0,0,3109,1,0,1,1,2.233333333,8.0,1655,18,3.0,4,1,14,523915.0,0,pink
4663,-97.89657593,30.23930931,1.98,334000,4,5,2019,28,0,6,2,0,0,0,0,0,1602,1,0,1,1,3.533333333,6.666666667,1698,17,3.0,3,2,37,380000.0,0,pink
4664,-97.91085815,30.19087219,1.98,711700,9,7,2020,71,0,3,2,0,2,0,1,0,3320,1,0,1,1,1.866666667,8.666666667,1664,18,3.0,4,1,13,523915.0,1,light purple
4665,-97.91723633,30.19164848,1.98,555000,4,6,2020,59,0,4,3,0,0,0,0,0,2705,1,0,1,1,2.166666667,8.666666667,1664,18,3.5,4,2,14,523915.0,0,pink
4666,-97.90066528,30.23918343,1.98,580000,4,7,2020,40,0,2,2,3,1,0,1,0,3367,1,0,1,1,3.5,6.666666667,1660,17,4.0,4,2,14,380000.0,0,pink
4667,-97.91304016,30.19415092,1.98,874900,6,4,2018,1,0,1,1,0,0,0,0,0,5536,1,0,1,1,1.866666667,8.666666667,1664,18,5.0,5,2,8,523915.0,1,light purple
4668,-97.92821503,30.18596077,1.98,949900,7,8,2019,49,0,5,2,1,1,0,2,0,4284,1,0,1,1,2.5,8.0,1655,18,4.0,5,2,7,523915.0,1,light purple
4669,-97.90046692,30.23948669,1.98,420000,3,8,2018,1,0,2,2,0,0,0,0,0,2105,1,0,1,1,3.5,6.666666667,1660,17,2.0,3,1,15,380000.0,0,pink
4670,-97.91680145,30.19206238,1.98,540000,1,8,2019,20,0,2,1,2,1,0,1,0,2929,1,0,1,1,2.133333333,8.666666667,1664,18,3.0,4,1,15,523915.0,0,pink
4671,-97.88370514,30.26805305,1.98,3175000,1,8,2020,3,0,0,0,1,1,0,0,0,4853,1,0,1,1,5.533333333,5.666666667,1332,16,6.0,4,1,1,649999.0,2,dark purple
4672,-97.92602539,30.1869297,1.98,475000,1,3,2018,38,0,3,1,0,0,0,0,0,3181,1,0,1,1,2.366666667,8.0,1655,18,4.0,5,2,11,523915.0,0,pink
4673,-97.91757202,30.19286537,1.98,699900,2,6,2019,36,0,3,1,2,1,0,1,0,4047,1,0,1,1,2.166666667,8.666666667,1664,18,4.0,4,2,16,523915.0,1,light purple
4674,-97.89762878,30.23838043,1.98,384900,2,9,2020,57,0,4,2,1,0,0,0,0,1682,1,0,1,1,3.6,6.666666667,1698,17,2.0,3,1,41,380000.0,0,pink
4675,-97.92134094,30.18192291,1.98,760000,3,9,2020,43,0,9,2,1,0,0,0,0,4523,1,0,1,1,2.266666667,8.0,1655,18,4.0,5,2,14,523915.0,1,light purple
4676,-97.90841675,30.18787956,1.98,589900,8,3,2019,29,0,1,3,0,0,0,0,0,3498,1,0,1,1,1.833333333,8.666666667,1664,18,4.0,4,2,16,523915.0,0,pink
4677,-97.87839508,30.24952888,1.98,444791,7,5,2019,1,0,0,2,0,0,0,0,0,3622,1,0,1,1,3.666666667,6.0,1455,17,4.0,4,2,11,649999.0,0,pink
4678,-97.92108154,30.18192482,1.98,639000,2,10,2020,112,0,3,2,1,1,0,0,0,3481,1,0,1,1,2.266666667,8.0,1655,18,3.0,4,1,15,523915.0,0,pink
4679,-97.90990448,30.18818474,1.98,725000,3,7,2020,40,0,3,3,0,1,0,0,0,3852,1,0,1,1,1.9,8.666666667,1664,18,4.0,5,2,16,523915.0,1,light purple
4680,-97.88925171,30.24222183,1.98,479000,2,6,2020,66,0,8,2,0,0,0,0,0,2000,1,0,1,1,3.233333333,6.666666667,1698,17,4.0,4,1,38,380000.0,0,pink
4681,-97.91552734,30.19182587,1.98,699900,5,3,2018,40,0,2,2,0,0,0,0,0,4046,1,0,1,1,2.066666667,8.666666667,1664,18,4.0,5,2,16,523915.0,1,light purple
4682,-97.9006958,30.23980141,1.98,535000,5,9,2020,120,0,3,2,0,1,0,1,0,3297,1,0,1,1,3.5,6.666666667,1660,17,4.0,4,2,16,380000.0,0,pink
4683,-97.92254639,30.18606949,1.98,519444,2,5,2018,36,0,3,1,0,0,0,0,0,3420,1,0,1,1,2.233333333,8.0,1655,18,3.0,4,2,15,523915.0,0,pink
4684,-97.89811707,30.23938179,1.98,334900,4,7,2019,12,0,3,2,2,1,0,1,0,1742,1,0,1,1,3.633333333,6.666666667,1698,17,3.0,4,2,38,380000.0,0,pink
4685,-97.90804291,30.18746567,1.98,665000,2,8,2020,61,0,4,2,3,1,0,1,0,3038,1,0,1,1,1.866666667,8.666666667,1664,18,3.0,3,1,15,523915.0,0,pink
4686,-97.89827728,30.23929787,1.98,300000,3,2,2019,1,0,0,1,0,0,0,0,0,1582,1,0,1,1,3.633333333,6.666666667,1698,17,3.0,3,2,38,380000.0,0,pink
4687,-97.92202759,30.1868515,1.98,440000,2,4,2020,26,0,1,2,1,0,0,0,0,2342,1,0,1,1,2.233333333,8.0,1655,18,3.0,4,2,14,523915.0,0,pink
4688,-97.86813354,30.27765274,1.98,975000,4,9,2018,76,0,2,2,0,0,0,0,0,3816,1,0,1,1,4.9,5.666666667,1332,16,3.0,3,1,24,649999.0,1,light purple
4689,-97.91435242,30.18946266,1.98,639900,5,1,2019,40,0,3,1,0,0,0,0,0,3840,1,0,1,1,2.066666667,8.666666667,1664,18,4.0,5,2,15,523915.0,0,pink
4690,-97.87962341,30.28516006,1.98,1459900,1,2,2019,1,0,5,1,0,0,0,0,0,3916,1,0,1,1,5.633333333,5.666666667,1332,16,3.0,4,2,37,649999.0,1,light purple
