,latitude,longitude,propertyTaxRate,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,yearBuilt,price,numPriceChanges,saleDate,saleMonth,saleYear,latestPriceSource,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,medianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,age,value,ageCategory,zipcode,zipcode_median
1396,30.3436203,-97.86305237,1.98,True,True,False,True,False,False,Single Family,1981,205000,1,6/30/2020,6,2020,Agent Provided,30,0,2,2,0,0,0,0,0,12632,1000,0,1,3,0,4.233333333,8.0,1373,14,1.0,3,1,40,Below Median,30-40 Yrs,78733,775000.0
1397,30.48874283,-97.78896332,2.21,True,True,True,True,True,True,Single Family,2014,599900,1,11/16/2020,11,2020,Pacesetter Properties,40,0,7,3,3,3,0,0,0,13939,2489,1,0,1,1,3.2,7.666666667,1259,14,3.0,4,2,7,Median or Above,<=10 Yrs,78717,410000.0
1398,30.40289879,-97.84267426,1.98,True,True,True,True,False,False,Single Family,2015,550000,1,3/12/2020,3,2020,Agent Provided,29,0,3,2,1,2,0,1,0,8363,2155,1,0,1,1,0.933333333,7.0,1381,16,2.0,3,1,6,Median or Above,<=10 Yrs,78726,489000.0
1399,30.42918396,-97.79563141,1.98,True,True,False,True,False,False,Single Family,1986,640000,3,11/7/2019,11,2019,Broker Provided,40,0,0,1,0,1,0,1,0,10149,2248,1,0,1,1,1.233333333,9.0,1616,16,2.0,3,1,35,Median or Above,30-40 Yrs,78750,585000.0
1400,30.31934738,-97.8400116,1.98,True,True,True,True,False,True,Townhouse,1986,1850000,2,9/12/2020,9,2020,Keller Williams Realty Southwest Market Center,62,0,4,3,0,0,0,0,0,168577,5574,0,1,3,0,2.9,9.333333333,1360,14,6.0,5,2,35,Median or Above,30-40 Yrs,78733,775000.0
1401,30.1783371,-97.9650116,2.01,False,True,True,True,False,False,Single Family,1950,339000,3,9/29/2019,9,2019, ,20,0,5,2,0,0,0,0,0,21780,1246,0,0,2,0,2.2,8.0,743,15,2.0,3,1,71,Below Median,50+ Yrs,78737,498500.0
1402,30.39522552,-97.80319977,1.98,True,True,False,True,False,False,Single Family,1997,640000,6,4/2/2018,4,2018,Agent Provided,38,0,3,1,0,0,0,0,0,12632,3123,1,0,1,1,3.566666667,7.0,1523,17,3.0,5,1,24,Median or Above,20-30 Yrs,78750,585000.0
1403,30.33461571,-97.86502075,1.98,True,True,True,True,False,True,Mobile / Manufactured,1994,450000,1,9/26/2019,9,2019,Agent Provided,13,0,6,2,0,0,0,0,0,51836,2212,0,1,3,0,3.766666667,8.0,1373,14,2.0,3,1,27,Median or Above,20-30 Yrs,78733,775000.0
1404,30.33070183,-97.82191467,1.98,True,True,False,True,False,False,Single Family,2002,1100000,1,5/28/2019,5,2019,Broker Provided,1,0,0,1,0,0,0,0,0,23086,2729,0,1,1,0,2.35,9.0,1669,15,4.0,3,3,19,Median or Above,10-20 Yrs,78746,1140000.0
1405,30.49284554,-97.79141998,2.21,True,True,False,True,False,False,Single Family,2008,360000,1,5/24/2019,5,2019,Agent Provided,1,0,7,2,0,2,0,0,0,5998,2010,1,0,1,1,1.966666667,8.333333333,1481,16,3.0,3,2,13,Below Median,10-20 Yrs,78717,410000.0
1406,30.1657753,-97.99872589,2.01,True,True,True,True,False,False,Single Family,2019,509900,2,7/31/2019,7,2019,Broker Provided,17,0,2,2,0,0,0,0,0,12196,3065,0,0,2,0,0.8,8.0,743,15,3.0,4,1,2,Median or Above,<=10 Yrs,78737,498500.0
1407,30.43180847,-97.79563141,1.98,True,True,False,True,False,False,Single Family,1984,435000,10,12/1/2018,12,2018,Agent Provided,40,0,3,1,0,0,0,0,0,12196,3407,0,1,1,1,1.1,8.666666667,1632,16,3.0,4,2,37,Median or Above,30-40 Yrs,78750,585000.0
1408,30.33161545,-97.82177734,1.98,True,True,True,True,False,False,Single Family,1965,3395000,3,8/28/2020,8,2020,Agent Provided,14,0,1,2,1,0,1,0,0,13503,1826,0,1,1,0,2.3,9.0,1669,15,3.0,3,1,56,Median or Above,50+ Yrs,78746,1140000.0
1409,30.37620926,-97.84594727,1.98,True,True,False,True,False,False,Single Family,1995,259900,1,9/11/2020,9,2020,Broker Provided,1,0,0,1,0,0,0,0,0,8102,2006,1,0,1,1,1.433333333,7.0,1381,16,2.0,3,1,26,Below Median,20-30 Yrs,78730,887450.0
1410,30.31403923,-97.89881134,1.98,True,True,False,True,False,True,Single Family,2006,717500,12,12/21/2018,12,2018,Agent Provided,38,0,3,1,0,0,0,0,0,16988,4234,0,1,3,0,2.7,9.333333333,1360,14,4.0,4,2,15,Median or Above,10-20 Yrs,78733,775000.0
1411,30.16674232,-97.99427032,2.01,True,True,False,True,False,False,Single Family,2008,455000,2,5/4/2018,5,2018,Agent Provided,40,0,3,1,0,0,0,0,0,20037,3836,0,0,2,0,0.8,8.0,743,15,4.0,5,1,13,Median or Above,10-20 Yrs,78737,498500.0
1412,30.49882317,-97.79573059,2.21,True,True,False,True,False,False,Single Family,2006,328000,1,4/24/2018,4,2018,Agent Provided,34,0,3,2,0,0,0,0,0,6926,2227,1,0,1,1,1.733333333,8.333333333,1481,16,3.0,4,2,15,Below Median,10-20 Yrs,78717,410000.0
1413,30.42411613,-97.7864151,1.98,True,True,True,True,True,True,Single Family,1998,800000,1,4/2/2019,4,2019,Agent Provided,40,0,6,2,0,0,0,0,0,13503,3295,1,0,1,1,1.066666667,9.0,1616,16,4.0,4,2,23,Median or Above,20-30 Yrs,78750,585000.0
1414,30.36074638,-97.91011047,1.98,True,True,False,True,True,True,Single Family,2008,685000,2,7/26/2019,7,2019,Agent Provided,40,0,4,1,2,2,0,2,0,18295,3536,1,0,1,1,2.333333333,8.666666667,1533,17,4.0,4,1,13,Median or Above,10-20 Yrs,78732,550000.0
1415,30.30009842,-97.79136658,1.98,False,True,True,True,False,True,Single Family,1984,2950000,4,8/14/2018,8,2018,Agent Provided,31,0,4,1,0,0,0,0,0,57499,4631,0,1,1,0,2.35,9.0,1669,15,4.0,4,2,37,Median or Above,30-40 Yrs,78746,1140000.0
